latitude,longitude,timestamp
-17.064200,38.206300,2017/02/12 13:00 UTC
-15.737600,46.473000,2017/02/12 13:00 UTC
-15.769700,46.548300,2017/02/12 13:00 UTC
-15.767000,46.480600,2017/02/12 13:00 UTC
-22.998600,121.880500,2017/02/12 13:00 UTC
-1.965600,121.567500,2017/02/12 13:00 UTC
-1.855600,121.816600,2017/02/12 13:00 UTC
-1.888400,121.841600,2017/02/12 13:00 UTC
-1.845700,121.884100,2017/02/12 13:00 UTC
-24.461300,21.679400,2017/02/12 13:00 UTC
-24.459200,21.675900,2017/02/12 13:00 UTC
-16.431300,-148.819300,2017/02/12 13:00 UTC
-18.814600,20.032100,2017/02/12 13:00 UTC
-17.706900,128.384300,2017/02/12 13:00 UTC
-16.447900,-148.819400,2017/02/12 13:00 UTC
-15.837200,-69.349800,2017/02/12 13:00 UTC
-19.197700,19.820000,2017/02/12 13:00 UTC
-15.560200,-65.566800,2017/02/12 13:00 UTC
-17.931200,127.970100,2017/02/12 13:00 UTC
-3.472500,-66.738300,2017/02/12 13:00 UTC
23.551400,-152.754900,2017/02/12 13:00 UTC
-17.947900,127.812500,2017/02/12 13:00 UTC
-43.306800,39.906900,2017/02/12 13:00 UTC
-17.934800,127.820100,2017/02/12 13:00 UTC
-43.140700,40.154100,2017/02/12 13:00 UTC
12.991000,-156.642500,2017/02/12 13:00 UTC
-23.673300,-132.187000,2017/02/12 13:00 UTC
-15.567200,28.992000,2017/02/12 13:00 UTC
3.645400,96.911400,2017/02/12 13:00 UTC
-17.222100,132.717700,2017/02/12 13:00 UTC
5.005700,-15.151500,2017/02/12 13:00 UTC
-16.260700,47.174700,2017/02/12 13:00 UTC
15.340500,-154.578900,2017/02/12 13:00 UTC
5.127500,-15.112700,2017/02/12 13:00 UTC
15.327000,-154.570000,2017/02/12 13:00 UTC
-8.118300,147.959700,2017/02/12 13:00 UTC
-8.106000,147.998000,2017/02/12 13:00 UTC
-23.962100,22.874900,2017/02/12 13:00 UTC
-8.144900,148.031900,2017/02/12 13:00 UTC
22.942000,-152.010000,2017/02/12 13:00 UTC
38.758300,-55.891300,2017/02/12 13:00 UTC
38.760300,-55.878600,2017/02/12 13:00 UTC
38.767600,-55.896900,2017/02/12 13:00 UTC
38.772800,-55.895600,2017/02/12 13:00 UTC
2.934900,121.266700,2017/02/12 13:00 UTC
3.038900,121.532000,2017/02/12 13:00 UTC
-33.030100,-45.667800,2017/02/12 13:00 UTC
-8.273200,147.681500,2017/02/12 13:00 UTC
-33.042500,-45.636200,2017/02/12 13:00 UTC
-8.074300,148.097100,2017/02/12 13:00 UTC
1.857700,29.633000,2017/02/12 13:00 UTC
-10.439300,149.518900,2017/02/12 13:00 UTC
-15.938200,38.990800,2017/02/12 13:00 UTC
22.765500,-152.000100,2017/02/12 13:00 UTC
1.585800,113.687300,2017/02/12 13:00 UTC
1.451200,113.537100,2017/02/12 13:00 UTC
-18.164900,127.665700,2017/02/12 13:00 UTC
-18.142200,127.658000,2017/02/12 13:00 UTC
